student_id,attendance_pct,homework_pct,midterm_score,study_hours_per_week,pass
64.91,71.25,86.56,88.94,12.94,1
46.49,68.39,49.37,67.19,6.94,1
69.29,86.32,78.82,52.84,2.47,0
94.69,94.01,58.49,89.27,2.25,1
43.71,81.64,63.46,67.11,6.04,0
43.71,87.38,69.84,60.94,2.0,0
96.32,65.68,67.0,81.85,9.41,1
72.76,71.73,40.51,76.84,8.0,1
36.88,94.01,92.54,70.59,7.46,0
66.24,78.82,88.33,60.03,5.04,1
37.06,65.25,66.54,65.01,3.86,0
36.99,70.09,84.93,75.79,3.9,1
57.52,87.83,62.26,63.8,7.92,1
1.99,89.4,52.32,65.15,8.02,1
1.99,54.65,69.96,57.0,6.01,1
34.19,75.92,49.14,80.76,2.35,0
21.12,69.38,79.39,61.0,9.99,0
59.62,68.36,57.08,75.98,5.48,1
24.16,93.0,41.81,69.2,7.73,0
9.53,65.33,37.97,60.58,8.66,1
93.02,59.36,66.87,95.02,7.73,1
43.95,55.13,74.49,70.64,5.83,0
52.46,66.44,91.79,51.44,9.89,1
9.17,56.54,39.51,95.02,9.58,1
34.71,54.26,86.2,85.75,8.16,0
53.72,53.81,60.74,61.66,6.65,0
17.11,54.86,67.98,70.11,9.98,1
61.4,56.09,69.13,81.3,4.75,1
33.07,76.56,68.85,76.41,8.54,0
42.04,34.92,37.97,82.94,8.79,1
33.04,57.13,81.21,70.52,10.6,1
99.01,67.75,83.23,62.78,9.13,0
50.11,89.8,85.31,70.73,6.13,1
19.81,65.18,77.32,53.13,11.53,1
74.36,66.81,65.51,65.08,10.34,1
15.08,67.97,44.05,69.5,2.85,1
56.56,37.33,76.66,74.71,9.18,0
1.99,81.15,69.69,94.16,8.46,0
11.97,80.42,68.99,54.34,11.3,0
56.21,83.9,76.53,92.1,11.15,0
71.92,94.01,68.26,75.22,7.65,0
55.47,46.6,61.48,43.98,4.67,0
47.14,43.25,48.96,87.23,6.15,0
41.76,81.98,68.93,67.38,8.87,0
7.61,63.56,94.1,91.35,7.88,1
29.62,52.12,50.27,59.86,9.24,0
37.14,64.53,86.1,63.12,10.91,0
81.17,58.61,81.19,80.34,8.17,1
60.47,94.01,39.9,44.07,7.04,0
1.99,94.01,79.38,58.37,4.92,1
59.9,40.65,69.34,46.52,2.0,0
39.33,43.46,67.61,54.41,6.19,1
30.86,56.12,95.01,92.78,7.31,0
68.25,57.35,85.04,54.49,3.97,1
80.41,55.84,53.24,57.86,9.71,0
77.52,66.09,79.91,43.98,4.66,0
26.15,61.63,53.43,59.31,7.16,1
41.53,45.63,54.15,43.98,5.99,0
60.11,51.4,71.76,73.11,13.28,1
78.8,94.01,89.0,80.2,12.83,1
36.6,63.21,43.73,75.29,9.63,1
45.11,62.31,60.46,46.39,7.25,0
18.4,42.68,89.03,67.81,8.94,0
15.8,61.34,53.02,75.26,7.12,1
74.07,86.48,69.56,63.08,10.59,0
89.85,80.03,63.74,49.74,9.93,1
48.41,83.84,90.75,82.72,9.74,0
79.61,48.27,74.45,50.98,8.4,1
60.99,47.99,63.95,75.74,9.04,0
31.78,89.53,54.8,69.08,10.53,1
60.98,84.11,95.01,90.51,15.0,1
95.12,64.96,67.74,95.02,10.98,0
49.46,84.58,65.18,60.42,2.56,1
95.89,48.28,77.53,51.42,6.96,1
1.99,47.55,81.26,70.86,5.2,0
74.34,40.97,45.21,69.3,7.24,0
53.03,75.9,65.8,77.8,6.86,0
41.83,73.35,50.79,57.61,6.74,1
53.16,60.3,59.43,57.66,9.06,1
1.99,55.74,90.7,67.4,7.05,0
44.13,94.01,88.65,73.22,10.25,1
60.86,64.95,79.05,52.08,6.14,0
93.38,94.01,45.12,66.93,4.27,0
35.46,66.94,72.21,67.62,7.05,0
27.04,60.68,59.24,78.45,5.39,1
35.94,94.01,85.91,67.57,10.93,1
77.06,83.46,59.45,85.83,10.02,1
60.04,69.09,54.94,78.44,11.53,0
35.13,89.53,75.17,43.98,3.77,1
65.39,94.01,89.68,65.36,2.0,0
53.32,56.59,87.2,85.86,13.55,0
78.6,77.85,91.13,55.09,3.14,0
30.13,62.3,91.29,72.75,10.19,0
40.99,53.02,95.01,74.31,9.74,1
